mission_id,company_id,freelance_id,start_date,end_date
3c0be226-6143-4ef5-958a-1d5d5aca6228,d27d96b6-6ee8-4789-815b-6f6d25c666b3,a3699d8a-4a93-479c-8c0b-a9b713f1be55,2021-08-26,2021-08-06
ff8831e1-ab1f-40f4-8b0d-c5b824afac61,0a3a7481-4c98-4117-a773-063de5a6eef4,d2410103-b6f8-4b05-9b9f-85ca3ab6b0d3,2021-10-17,2021-08-25
00ce9b42-7d8e-497a-8636-210605399b7e,6de76e79-2c16-4b92-981d-d8c04744b0aa,ef74a00b-ef7e-4cb6-ab5d-3708d67c3033,2021-12-20,2022-04-01
34f3a6ae-7daf-4b62-aa6b-86b0d90a71b9,d27d96b6-6ee8-4789-815b-6f6d25c666b3,cb0e9e13-6cec-4c30-abb1-9496ada8ff8c,2021-07-13,2021-07-23
78e72ca8-cd53-4661-be71-116f2e71d269,541667fb-b96b-46de-994e-16fda9502d79,994586a7-85bd-49a5-8d99-0d614cdee321,2021-01-17,2021-06-15
c917befd-f583-4b48-9374-90318064fd38,7fc1058f-e7af-4886-a8db-e6412fd1b46f,16b76b68-c575-44a8-b689-616bb75283e2,2021-08-01,
0b0c5c67-0a7c-40fe-baa0-dba6880a4bdd,6b7ad4fc-83df-4a6a-acbc-1f6af3a91ecf,5ada74f3-60ea-4586-be3c-c2ebbad46c84,,2021-02-23
99310622-028c-40bb-b3ba-ee4464318332,cac2af6c-9c9d-4356-8c3d-6182d73570a7,635ea0ca-eed2-427a-a434-57b20163aa35,2021-01-31,2021-07-27
0feea497-df09-4b78-80d3-1a47d67dff4e,c3925967-54fd-43de-bddd-0a5281bdc56a,cec0047f-d84c-40c6-84ef-4fc2d67605ee,2021-12-23,2022-02-07
6d42a832-8708-4fe2-859a-6ee743203968,18fe569c-24cf-4964-ad81-251f66e0645b,d25f0901-0f0c-4348-85db-9081029e5a34,,2021-11-19
3e313170-afb0-4bf3-9f94-090f050c87a1,f3cdbde0-0037-462e-b25a-3f102a41d177,071a6015-202c-4fc1-adb3-26a69f9d7284,2021-04-26,2021-09-28
833c9680-c7d5-45bc-a9d2-333adf669676,9f3207aa-d847-4e61-ad58-425856232562,1fc9cbc1-5cc1-403b-ad7c-53c437753b1a,2021-03-08,2021-06-11
3d773133-2d16-49d2-bd89-857467252513,3d3ae103-4d0b-4168-a21d-a5dbcb1b2b27,32194045-9412-43f9-8a9a-937a3f55e75c,2021-11-14,2021-12-25
990d3979-a41a-4a28-a2d3-ff2e51b361fa,a12d42a9-5dea-4dee-bc0f-9fa4bc64c046,c51b5ccc-5a09-4f5d-8f4b-9d2e06c11ee0,2021-09-01,2021-09-09
b254edb1-7da3-4935-b846-75770d1b986a,c147ee18-8058-4e4b-b664-d35b568abdd4,240cd2bc-1ca5-4c55-8911-f441cbb57ac3,2021-11-22,2022-02-06
557e2ad0-11a7-43e6-abd1-fdc7993bb063,36996a0a-7864-4349-8615-1e0e6c3cbc99,b7c1aca0-4e56-4d84-93c0-ec1cc11f44c8,,2021-12-21
0e5ef633-5f4f-45fb-a750-06bf4201f45e,9bbbf70e-b89c-48ec-af59-a8e2f1e61a23,f0ab554f-eb22-4a4c-889d-bc0a28df038d,2021-11-10,2022-03-05
a2d56b1a-51d8-43c5-87d3-a45a1fb90c79,8890c9b4-8ce0-4345-acc5-f0d6b20ee02c,ba689131-c34a-4892-a5eb-809a92a78de6,2021-10-13,2021-11-13
d829d17d-16bb-40d7-ae53-1bf68fe71067,6b3371b3-1c8b-4ca0-bce2-ce4b0ad5fd44,f3f7cab3-b518-4cb1-b40f-b019391d2b88,,2021-10-13
76914c37-6b2c-409d-9c44-b2d8ed7c8e7a,28908335-7aad-4210-8681-49f8f7a99bce,cb0e9e13-6cec-4c30-abb1-9496ada8ff8c,2022-01-05,2021-09-10
067819f7-cd6f-4ce1-bb33-84e2d303069e,de51fc0f-262f-4f9a-9e79-f66cdf2875f6,1fc9cbc1-5cc1-403b-ad7c-53c437753b1a,2022-02-17,2021-11-29
9c78882d-e241-4291-ad82-6e6d7321da52,950db604-3f73-41b1-b960-361527c00010,8bcde37b-d1b9-4030-a59a-8e01320d0001,2021-05-16,2021-10-21
b25d5be7-35ee-4cb2-8fe7-69933ce2e819,,c872f152-683e-4093-b093-d0c34032d888,2021-09-25,2021-11-27
2a4731bc-7d10-4418-ba10-fce232a2bedb,c4ff36b9-e8ad-4678-9f59-10459385cd7e,47e41ad0-0744-4ffa-a449-198f7bd5d968,2021-03-05,
4128b73e-b3c6-49ef-912a-ee9ee1779f50,e34228e7-9912-4725-b93c-0570e58dfa1a,c722554b-050e-4070-b3d1-6f298bd4938a,2021-09-28,
5d52c224-be3a-4f85-b513-0d4699a55ee3,dc6a0b3a-5122-4a00-9f51-a0d347819c51,11854a11-f972-4094-87e3-390cb0a809b2,2021-09-04,2021-12-04
492fcc00-1212-4668-9467-21b14bcd9607,950db604-3f73-41b1-b960-361527c00010,ca6cad5a-c15a-4580-9c95-b492a9312566,2021-02-13,2021-05-29
1cc747ed-f776-4c21-89f4-3e3a27040975,de51fc0f-262f-4f9a-9e79-f66cdf2875f6,166a4ff7-1aef-4149-a830-e62d9cb8d68f,2021-06-08,2021-08-18
c08a1ce1-893e-4c5e-a5d0-eb2264c2658a,d623ef55-1061-45a2-b2f0-d5bace24f0c5,36fa9bb2-eceb-4293-b1dc-9976fc909b35,2021-05-13,2021-06-15
8e0daa7b-3728-4efa-9f7e-0f5e3b8786b5,e54d7e2c-f954-464d-8f51-14e7f2e5ea10,407e7e4f-459e-4216-a837-b2550f6d8fbc,2021-11-04,2021-10-11
b3d71f14-ae36-46b8-a2cf-de53b07c493f,,cb0e9e13-6cec-4c30-abb1-9496ada8ff8c,2021-06-10,2021-08-15
9950f8dc-a72c-4be0-a09d-861712aa4f86,6d6c827d-7c72-49ea-ac6c-7f5fe1e014a1,921020ed-e969-4654-bca2-b17b96609542,2021-02-21,2021-08-11
a815c14f-8e20-438d-b93d-a3291f3fb432,83a9ef86-c39a-4e0c-8f97-a19c42a8dd78,e8f9f87b-1a27-42da-bbec-d68c7b823a28,2021-02-20,2021-07-30
925a925f-46c4-4132-ac97-4193db6db833,db045b5a-0b9f-4b9f-bc36-815eedc666c6,f06d4ca2-bf37-4015-979a-eef442a47e5c,2021-04-01,2021-08-16
c668f746-b023-4a05-8eca-4d98b4265f63,f3cdbde0-0037-462e-b25a-3f102a41d177,a3699d8a-4a93-479c-8c0b-a9b713f1be55,2021-10-28,2021-11-30
3a3f713d-dfb5-47f4-a656-21fb04c481d9,ce0844ea-ee22-49b5-836d-6f9a236d25ff,78f20f14-7935-4d00-bc39-6b4c8e054e99,2021-04-14,
7897c205-aaa2-4638-8256-8ccea757ed7e,22899274-711e-40e4-9c7f-29676be94062,b148c227-113a-4081-9119-ccb2fbae1984,2021-03-04,2021-03-22
a7bf039e-d495-4d49-a3e0-907e6b869bcd,77da433b-8d87-4ed0-ac21-1ae0b0e08fc0,910f1287-0e39-4af6-9e0c-90a55eecdb7e,2021-06-09,2021-11-15
8931460b-ff57-4843-8edf-585213e8e0c6,dc6a0b3a-5122-4a00-9f51-a0d347819c51,72c5986f-87a8-45a4-8157-a6b5a1e5f168,2021-04-25,2021-08-24
f07521e1-98cf-4048-a122-9580748ffcec,a556c36e-6dc5-4a6c-a8c9-09f5a29b0efb,91c4f07c-9b5e-4bfa-b89f-e767ac5c97e6,,2021-11-06
